Function Name,Parameters,Source File,Line Number
UserScaledElementMixin:SetDesiredWidth,desiredWidth,Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,29
UserScaledElementMixin:GetDesiredWidth,registrationInfo,Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,34
UserScaledElementMixin:GetScaledDesiredWidth,"scale, registrationInfo",Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,38
UserScaledElementMixin:GetDesiredHeight,registrationInfo,Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,43
UserScaledElementMixin:GetScaledDesiredHeight,"scale, registrationInfo",Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,47
UserScaledElementMixin:OnTextScaleUpdated,"scale, registrationInfo",Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,52
UIThemeContainerMixin:UIThemeContainerFrame_OnPreLoad,,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,3
UIThemeContainerMixin:UIThemeContainerFrame_OnPreShow,,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,6
UIThemeContainerMixin:UIThemeContainerFrame_OnPostHide,,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,9
UIThemeContainerMixin:UIThemeContainerFrame_OnPostEvent,"..., event",Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,12
UIThemeContainerMixin:UpdateTheme,cvarValue,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,15
UIThemeContainerMixin:CheckUpdateTheme,"cvar, value",Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,18
UIThemeContainerMixin:GetCVarValue,,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,21
UIThemeContainerMixin:UpdateFontStrings,cvarValue,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,24
UIThemeContainerMixin:UpdateBackground,cvarValue,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,27
UIThemeContainerMixin:RegisterFontString,fontString,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,30
UIThemeContainerMixin:RegisterFontStrings,...,Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,33
UIThemeContainerMixin:RegisterBackgroundTexture,"textureKit, texture",Blizzard_AccessibilityTemplates\Classic\AccessibilityTemplates.lua,36
UIThemeContainerMixin:IsDarkMode,cvarValue,Blizzard_AccessibilityTemplates\Mainline\AccessibilityTemplates.lua,45
UIThemeContainerMixin:UpdateFrames,cvarValue,Blizzard_AccessibilityTemplates\Mainline\AccessibilityTemplates.lua,69
UIThemeContainerMixin:RegisterObject,"container, object",Blizzard_AccessibilityTemplates\Mainline\AccessibilityTemplates.lua,83
UIThemeContainerMixin:RegisterObjects,"container, ...",Blizzard_AccessibilityTemplates\Mainline\AccessibilityTemplates.lua,87
UIThemeContainerMixin:RegisterFrame,frame,Blizzard_AccessibilityTemplates\Mainline\AccessibilityTemplates.lua,102
UIThemeContainerMixin:RegisterFrames,...,Blizzard_AccessibilityTemplates\Mainline\AccessibilityTemplates.lua,106
OnAccept,"entryName, selectedNode, data, self, boostType, applicantID, dialog",Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,18
OnCancel,"boostType, self, data, dialog, reason",Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,21
AccountSaveFrameMixin:OnLoad,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,34
AccountSaveFrameMixin:OnShow,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,45
AccountSaveFrameMixin:UpdateAccountState,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,49
AccountSaveFrameMixin:OnLockEditBoxTextChanged,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,91
AccountSaveFrameMixin:OnLockEditBoxEnterPressed,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,95
AccountSaveFrameMixin:OnLockEditBoxEscapePressed,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,101
AccountSaveFrameMixin:OnSaveButtonClicked,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,105
AccountSaveFrameMixin:DoesLockStringMatch,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,111
AccountSaveFrameMixin:SaveAccountData,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,115
AccountSaveFrameMixin:OnEvent,"event, ...",Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,125
AccountSaveFrameMixin:ProcessAccountSaveError,errorCode,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,144
AccountSaveFrameMixin:OnSizeChanged,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,169
GetYPadding,"frame, pointNum",Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,173
AccountSaveFrameMixin:UpdateSizing,,Blizzard_AccountSaveUI\Blizzard_AccountSaveUI.lua,184
LeaveFullscreenMode,,Blizzard_AccountStore\Blizzard_AccountStore.lua,2
AccountStoreMixin:OnLoad,,Blizzard_AccountStore\Blizzard_AccountStore.lua,13
AccountStoreMixin:OnShow,,Blizzard_AccountStore\Blizzard_AccountStore.lua,23
AccountStoreMixin:OnHide,,Blizzard_AccountStore\Blizzard_AccountStore.lua,28
AccountStoreMixin:SetStoreFrontID,storeFrontID,Blizzard_AccountStore\Blizzard_AccountStore.lua,37
AccountStoreMixin:SetFullscreenMode,enabled,Blizzard_AccountStore\Blizzard_AccountStore.lua,42
FullscreenAccountStoreContainerMixin:OnShow,,Blizzard_AccountStore\Blizzard_AccountStore.lua,60
FullscreenAccountStoreContainerMixin:OnHide,,Blizzard_AccountStore\Blizzard_AccountStore.lua,74
FullscreenAccountStoreContainerMixin:OnKeyDown,key,Blizzard_AccountStore\Blizzard_AccountStore.lua,87
FullscreenLeaveAccountStoreButtonMixin:OnLoad,,Blizzard_AccountStore\Blizzard_AccountStore.lua,96
FullscreenLeaveAccountStoreButtonMixin:OnClick,,Blizzard_AccountStore\Blizzard_AccountStore.lua,102
AccountStoreBaseCardMixin:OnLoad,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,20
AccountStoreBaseCardMixin:OnShow,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,50
AccountStoreBaseCardMixin:OnHide,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,56
AccountStoreBaseCardMixin:OnEnter,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,60
AccountStoreBaseCardMixin:OnLeave,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,86
AccountStoreBaseCardMixin:OnUpdate,dt,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,95
AccountStoreBaseCardMixin:OnMouseWheel,delta,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,104
AccountStoreBaseCardMixin:OnEvent,"event, ...",Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,108
AccountStoreBaseCardMixin:SetItemID,itemID,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,124
AccountStoreBaseCardMixin:SelectCard,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,163
AccountStoreBaseCardMixin:CheckForItemStateUpdate,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,189
AccountStoreBaseCardMixin:UpdateRefundTime,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,205
AccountStoreBaseCardMixin:UpdateCardDisplay,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,216
AccountStoreCreatureCardMixin:UpdateCardDisplay,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,223
AccountStoreIconCardMixin:UpdateCardDisplay,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,245
AccountStoreTransmogSetCardMixin:UpdateCardDisplay,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,256
GetPlayerActorName,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,265
SetUpPlayerActor,,Blizzard_AccountStore\Blizzard_AccountStoreCardTemplates.lua,293
AccountStoreCategoryMixin:OnClick,,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,4
AccountStoreCategoryMixin:SetCategory,categoryID,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,9
AccountStoreCategoryListMixin:OnLoad,,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,20
AccountStoreCategoryListMixin:InitScrollBox,,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,29
SelectionBehaviorCallback,"selectionBehaviorSelf, elementData, selected",Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,39
AccountStoreCategoryListMixin:OnStoreFrontSet,storeFrontID,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,53
AccountStoreCategoryListMixin:OnCategorySelected,categoryID,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,57
AccountStoreCategoryListMixin:SetCategories,categories,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,67
AccountStoreCategoryListMixin:SetRowSelectedState,rowButton,Blizzard_AccountStore\Blizzard_AccountStoreCategoryList.lua,75
AccountStoreItemDisplayMixin:OnLoad,,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,8
AccountStoreItemDisplayMixin:OnShow,,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,39
AccountStoreItemDisplayMixin:OnHide,,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,49
AccountStoreItemDisplayMixin:OnEvent,"event, ...",Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,55
AccountStoreItemDisplayMixin:OnMouseWheel,delta,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,64
AccountStoreItemDisplayMixin:OnStoreFrontSet,storeFrontID,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,68
AccountStoreItemDisplayMixin:OnCategorySelected,categoryID,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,76
AccountStoreItemDisplayMixin:CreateItemRack,categoryType,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,97
AccountStoreItemDisplayMixin:GetMaxPage,,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,106
AccountStoreItemDisplayMixin:SetPage,"page, forceUpdate",Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,110
AccountStoreItemDisplayMixin:UpdateCurrencyAvailable,,Blizzard_AccountStore\Blizzard_AccountStoreItemDisplay.lua,134
GenerateAccountStoreCategoryInfo,"cardTemplate, maxCards",Blizzard_AccountStore\Blizzard_AccountStoreItemRack.lua,3
AccountStoreItemRackMixin:SetCategoryType,categoryType,Blizzard_AccountStore\Blizzard_AccountStoreItemRack.lua,20
AccountStoreItemRackMixin:SetItems,items,Blizzard_AccountStore\Blizzard_AccountStoreItemRack.lua,26
AccountStoreItemRackMixin:Refresh,,Blizzard_AccountStore\Blizzard_AccountStoreItemRack.lua,31
AccountStoreItemRackFactoryFunction,index,Blizzard_AccountStore\Blizzard_AccountStoreItemRack.lua,35
AccountStoreItemRackMixin:GetMaxCards,,Blizzard_AccountStore\Blizzard_AccountStoreItemRack.lua,54
PrependWarning,text,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,5
AccountStoreUtil.SetAccountStoreShown,shown,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,11
AccountStoreUtil.ToggleAccountStore,,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,31
AccountStoreUtil.FormatCurrencyDisplay,"currencyAmount, accountStoreCurrencyID",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,35
AccountStoreUtil.IsCurrencyAtWarningThreshold,accountStoreCurrencyID,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,40
AccountStoreUtil.FormatCurrencyDisplayWithWarning,"accountStoreCurrencyID, currencyAmount, hideIcon",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,49
AppendIcon,text,Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,55
AccountStoreUtil.AddCurrencyTotalTooltip,"tooltip, accountStoreCurrencyID",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,83
AccountStoreUtil.ShowDisabledItemInfoTooltip,"frame, itemInfo",Blizzard_AccountStore\Blizzard_AccountStoreUtil.lua,108
AchievementFrame_ToggleAchievementFrame,"toggleGuildView, toggleStatFrame",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,28
AchievementFrame_DisplayComparison,unit,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,50
AchievementFrame_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,61
IsFilterSelected,"filterType, filter",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,72
SetFilterSelected,"filterType, filter",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,76
AchievementFrame_SetTabs,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,103
AchievementFrame_UpdateTabs,clickedTab,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,113
AchievementFrame_ToggleView,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,126
AchievementFrameBaseTab_OnClick,"id, tabIndex",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,166
AchievementFrameComparisonTab_OnClick,"id, tabIndex",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,225
GetOrCreateAchievementSubFramesList,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,251
AchievementFrame_ShowSubFrame,...,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,265
AchievementFrameCategories_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,290
AchievementFrameCategories_GetCategoryList,categories,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,297
AchievementFrameCategories_DisplayButton,"button, element",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,326
AchievementFrameCategories_SelectButton,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,384
AchievementFrameAchievements_OnShow,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,477
AchievementCategoryButton_OnLoad,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,492
AchievementFrameAchievements_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,500
AchievementFrameAchievements_OnEvent,"..., self, event",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,525
AchievementFrameAchievementsBackdrop_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,581
AchievementFrameAchievements_Update,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,586
AchievementFrameAchievements_ClearSelection,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,641
AchievementFrameAchievements_ToggleView,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,659
AchievementIcon_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,717
AchievementShield_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,724
AchievementShield_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,728
AchievementButton_UpdatePlusMinusTexture,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,735
AchievementButton_Collapse,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,766
AchievementButton_Expand,"self, height",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,785
AchievementButton_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,808
AchievementButton_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,842
AchievementButton_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,870
AchievementButton_OnClick,"self, button, down, ignoreModifiers",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,893
AchievementButton_ToggleTracking,id,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,926
AchievementButton_DisplayAchievement,"button, category, achievement, selectionID",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,954
AchievementFrameAchievements_SelectButton,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1086
AchievementButton_DisplayObjectives,"button, id, completed",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1096
AchievementsObjectivesMixin:OnLoad,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1154
AchievementsObjectivesMixin:OnHide,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1163
AchievementsObjectivesMixin:Clear,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1167
AchievementsObjectivesMixin:GetElementAtIndex,"template, collection, localizer, index",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1180
AchievementsObjectivesMixin:GetCriteria,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1194
AchievementsObjectivesMixin:GetProgressBar,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1198
AchievementsObjectivesMixin:GetMiniAchievement,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1202
AchievementsObjectivesMixin:GetMeta,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1206
AchievementButton_ResetCriteria,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1220
AchievementButton_GetMeta,index,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1225
AchievementButton_ToggleMetaView,frame,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1239
AchievementObjectives_DisplayProgressiveAchievement,"id, objectivesFrame",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1252
AchievementObjectives_DisplayCriteria,"id, objectivesFrame",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1312
AchievementStatButton_OnLoad,"self, parentFrame",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1561
AchievementFrameSummary_OnShow,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1568
AchievementFrameSummary_Update,isCompare,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1584
AchievementFrameSummary_ToggleView,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1589
AchievementFrameSummary_UpdateAchievements,...,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1630
AchievementFrameSummaryCategoriesStatusBar_Update,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1761
AchievementFrameSummaryAchievement_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1768
AchievementFrameSummaryAchievement_SetGuildTextures,button,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1778
AchievementFrameSummaryCategory_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1786
AchievementFrame_SelectAchievement,"forceSelect, id",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1794
AchievementFrame_SelectSummaryStatistic,criteriaId,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,1929
AchievementFrameComparison_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2021
AchievementFrameComparison_OnShow,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2030
AchievementFrameComparison_OnHide,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2039
AchievementFrameComparison_OnEvent,"..., self, event",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2048
AchievementFrameComparison_SetUnit,unit,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2062
AchievementFrameComparison_DisplayAchievement,"button, category, index",Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2074
AchievementFrameComparisonStat_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2156
AchievementComparisonPlayerButton_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2161
AchievementComparisonPlayerButton_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2199
AchievementComparisonPlayerButton_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2233
AchievementComparisonFriendButton_Saturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2245
AchievementComparisonFriendButton_Desaturate,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2266
AchievementComparisonFriendButton_OnLoad,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2284
AchievementFrame_IsFeatOfStrength,,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2292
AchievementMeta_OnEnter,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2348
AchievementMeta_OnLeave,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2357
AchievementShield_OnEnter,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2362
AchievementShield_OnLeave,self,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2395
AchievementFrameAchievements_CheckGuildMembersTooltip,requestFrame,Blizzard_AchievementUI\Cata\Blizzard_AchievementUI.lua,2406
updateTrackedAchievements,achievementIDs,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,71
GetSelectedAchievement,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,83
GetSelectedCategory,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,89
SetSelectedAchievement,elementData,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,94
ClearSelectedCategories,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,99
InGuildView,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,103
IsCategoryFeatOfStrength,category,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,107
AchievementFrameCategories_MakeCategoryList,"source, fakeSummaryId",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,111
AchievementFrame_GetOrSelectCurrentCategory,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,171
AchievementFrame_OnAchievementLinkedInChat,achievementID,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,180
AchievementFrame_OnShow,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,270
AchievementFrame_OnHide,self,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,278
AchievementFrame_ForceUpdate,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,286
AchievementFrame_SetComparisonTabs,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,301
AchievementFrame_RefreshView,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,316
OpenToSelectedCategory,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,350
InitAchievementPage,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,356
AchievementCategoryTemplateMixin:OnLoad,,Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,467
AchievementCategoryTemplateMixin:OnClick,"buttonName, down",Blizzard_AchievementUI\Mainline\Blizzard_AchievementUI.lua,475
